id,name,description
1,E-Commerce,"Ein Online-Marktplatz mit hohem Transaktionsvolumen, der Produktkataloge, Bestellungen und Zahlungen verwaltet. Das System muss Spitzenlasten während Verkaufsaktionen bewältigen und konsistente Bestandsdaten garantieren. Gleichzeitig sind komplexe Suchanfragen und personalisierte Empfehlungen erforderlich."
2,IoT-Sensorik,"Ein Netzwerk aus Millionen von Sensoren, die kontinuierlich Zeitreihendaten wie Temperatur und Vibration senden. Die Architektur muss extrem hohe Schreibgeschwindigkeiten unterstützen und effiziente Aggregationen für Dashboards ermöglichen. Alte Rohdaten werden regelmäßig archiviert oder gelöscht."
3,CMS,"Ein Content-Management-System für Medienunternehmen, das Artikel, Bilder und Videos versioniert speichert. Es erfordert flexible Schemata für unterschiedliche Inhaltstypen und hierarchische Strukturen für Kategorien. Kollaboratives Bearbeiten und schnelle Volltextsuche sind zentrale Anforderungen."
4,Social-Graph,"Eine Plattform für soziale Vernetzung, die Beziehungen zwischen Nutzern, Gruppen und Inhalten abbildet. Der Fokus liegt auf der schnellen Traversierung tiefer Graphenstrukturen, um Freunde von Freunden oder Interessencluster zu finden. Echtzeit-Updates von Feeds und Benachrichtigungen sind essenziell."
5,Healthcare,"Ein System für elektronische Patientenakten, das hochsensible medizinische Daten und Diagnosehistorien speichert. Strikte Compliance-Vorgaben, Audit-Trails und komplexe Zugriffskontrollen stehen im Vordergrund. Die Datenstruktur ist oft heterogen und muss über lange Zeiträume unveränderbar archiviert werden."
6,Logistik,"Eine Supply-Chain-Lösung zur Echtzeitverfolgung von Warenbeständen, Lieferanten und Transportrouten. Das System muss Standortdaten verarbeiten und Bestandsänderungen transaktional sicher über mehrere Lager hinweg synchronisieren. Vorhersagemodelle für Nachschub benötigen Zugriff auf historische Bewegungsdaten."
7,Immobilien,"Eine Verwaltungssoftware für Mietverträge, Instandhaltung und Abrechnungen von Immobilienportfolios. Zeitbasierte Vertragsdaten und wiederkehrende Zahlungsströme müssen exakt abgebildet werden. Hierarchische Strukturen von Gebäuden und Einheiten erfordern flexible Abfragemöglichkeiten."
8,Gaming,"Ein Backend für Multiplayer-Spiele, das Spielerprofile, Bestenlisten und In-Game-Items in Echtzeit verwaltet. Niedrige Latenzzeiten sind entscheidend für das Spielerlebnis, insbesondere bei Matchmaking und Status-Updates. Zustandsdaten müssen oft im Speicher gehalten werden, um die Performance zu maximieren."
9,Fintech,"Eine Banking-Plattform für Hochfrequenzhandel und Betrugserkennung in Echtzeit. Absolute Datenkonsistenz (ACID) und Transaktionssicherheit sind nicht verhandelbar. Gleichzeitig müssen riesige Datenströme analysiert werden, um Anomalien sofort zu erkennen."
10,Wissensgraph,"Eine RAG-Wissensdatenbank, die unstrukturierte Dokumente mit semantischen Vektoren und Metadaten verknüpft. Das System muss effiziente Ähnlichkeitssuchen auf Embeddings durchführen und gleichzeitig präzise Filterung nach Tags erlauben. Die Datenbasis wächst kontinuierlich durch neue Ingest-Prozesse."
